id,name,description,powers,quotes,affiliation,creators,aka
12,Wasp,"Hope van Dyne, also known as the Wasp, is a Marvel superhero who possesses the ability to shrink in size and fly using a special suit equipped with wings. She is a skilled fighter and often partners with Ant-Man.","Size manipulation,Flight,Hand-to-hand combat",It's about damn time.,Avengers,"Stan Lee, Ernie Hart, Jack Kirby",Hope van Dyne
13,Captain Marvel,"Carol Danvers, also known as Captain Marvel, is a powerful superhero with enhanced strength, speed, and the ability to fly. She harnesses cosmic energy and is a key member of the Avengers.","Superhuman strength,Flight,Energy absorption and projection","Higher, further, faster, baby.",Avengers,"Roy Thomas, Gene Colan","Carol Danvers,Binary,Ms. Marvel"
14,Star-Lord,"Peter Quill, also known as Star-Lord, is a charismatic and adventurous spacefaring superhero. He is the leader of the Guardians of the Galaxy and wields powerful alien technology.","Skilled marksman,Master tactician,Enhanced strength (with celestial powers)","I'm Star-Lord, man! Legendary outlaw.",Guardians of the Galaxy,"Steve Englehart, Steve Gan",Peter Quill
15,Gamora,"Gamora is a skilled assassin and member of the Guardians of the Galaxy. She is known as the deadliest woman in the galaxy and has a complex history, including being raised by the villain Thanos.","Superhuman strength,Enhanced agility,Expert martial artist",I am going to die surrounded by the biggest idiots in the galaxy.,Guardians of the Galaxy,Jim Starlin,The Deadliest Woman in the Galaxy
16,Drax the Destroyer,"Drax the Destroyer is a powerful warrior seeking vengeance against Thanos, the Mad Titan. He possesses enhanced strength and durability, making him a formidable member of the Guardians of the Galaxy.","Superhuman strength,Enhanced durability,Expert hand-to-hand combatant","Nothing goes over my head! My reflexes are too fast, I would catch it.",Guardians of the Galaxy,Jim Starlin,"Arthur Douglas,The Destroyer"
17,Rocket Raccoon,"Rocket Raccoon is a genetically modified raccoon with exceptional intelligence, combat skills, and proficiency in using a wide array of weapons. He is a member of the Guardians of the Galaxy.","Genius-level intellect,Expert marksman,Skilled tactician",I'm not a raccoon. I'm a trash panda.,Guardians of the Galaxy,"Bill Mantlo, Keith Giffen","Rocket,Ranger Rocket"
18,Groot,"Groot is a humanoid tree-like creature with limited vocabulary. Despite his simple communication skills, he possesses incredible strength and the ability to regenerate his body. He is a loyal member of the Guardians of the Galaxy.","Enhanced strength,Regeneration,Fluent in Groot-speak",I am Groot.,Guardians of the Galaxy,"Stan Lee, Jack Kirby",Flora Colossus
19,Nebula,"Nebula is a fierce and relentless assassin. She is a cyborg with enhanced strength, agility, and combat skills. Nebula has a complicated relationship with her adoptive father, Thanos, and plays a significant role in the conflict against him.","Cybernetic enhancements,Superhuman strength,Expert martial artist",All I ever wanted was to be equal to Thor.,Guardians of the Galaxy,"Roger Stern, John Buscema",The Most Dangerous Woman in the Universe
20,Thanos,Thanos is a powerful,"Superhuman strength,Genius-level intellect,Invulnerability,Energy manipulation","I am inevitable.,I used the stones to destroy the stones.",None,Jim Starlin,The Mad Titan
21,Loki,"Loki is the god of mischief and the adopted brother of Thor. He possesses magical abilities and is known for his cunning and manipulative nature. Although initially an adversary, Loki has been both an ally and enemy of the Avengers.","Magic manipulation,Illusions,Shape-shifting","I am burdened with glorious purpose.,I assure you, brother, the sun will shine on us again.",Asgard,"Stan Lee, Larry Lieber, Jack Kirby",God of Mischief
22,Winter Soldier,"Bucky Barnes, also known as the Winter Soldier, is a skilled assassin and a former brainwashed operative of HYDRA. With a bionic arm and enhanced combat abilities, he fights alongside Captain America and the Avengers.","Superhuman strength,Enhanced agility,Expert marksman",Who the hell is Bucky?,Avengers,"Joe Simon, Jack Kirby",Bucky Barnes
23,Falcon,"Sam Wilson, also known as Falcon, is a skilled aerialist","Flight (via winged jetpack),Telepathic link with birds,Expert hand-to-hand combatant",On your left.,Avengers,"Stan Lee, Gene Colan",Sam Wilson
24,War Machine,"James Rhodes, also known as War Machine, is a highly skilled pilot and combatant. He operates a heavily armored suit equipped with advanced weaponry and often fights alongside Iron Man and the Avengers.","Advanced weaponry,Flight (via armored suit),Enhanced strength (via armored suit)",Boom! You looking for this?,Avengers,"David Michelinie, John Byrne",James Rhodes
25,Nick Fury,"Nick Fury is a seasoned intelligence operative and the former director of S.H.I.E.L.D. He is known for his strategic mind and resourcefulness, often assembling and leading teams of superheroes to defend the world.","Master spy,Tactical genius,Skilled combatant",I still believe in heroes.,S.H.I.E.L.D.,"Stan Lee, Jack Kirby",Colonel Fury
26,Phil Coulson,"Phil Coulson is a dedicated S.H.I.E.L.D. agent known for his loyalty and unwavering commitment to protecting the world from threats. He often serves as a liaison between S.H.I.E.L.D. and the Avengers, providing valuable intelligence and support.","Strategic planning,Skilled marksman,Tactical expertise",It's an agent's duty to lie.,S.H.I.E.L.D.,"Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway",Agent Coulson
27,Agent Peggy Carter,"Agent Peggy Carter is a skilled intelligence agent who played a crucial role during World War II. She is known for her bravery, resourcefulness, and commitment to justice. Peggy Carter co-founded S.H.I.E.L.D. and became a respected leader within the organization.","Strategic planning,Expert combatant,Leadership",I know my value.,S.H.I.E.L.D.,"Christopher Markus, Stephen McFeely",Agent Carter
28,Valkyrie,"Valkyrie, also known as Brunnhilde, is a fierce Asgardian warrior and member of the Valkyrior. She is a skilled combatant and has formidable leadership qualities. Valkyrie played a vital role in the fight against Hela and has since become an ally of Thor and the Avengers.","Superhuman strength,Expert combatant,Flight (via winged horse)",I'm Valkyrie. Of Asgard.,Asgard,"Roy Thomas, John Buscema",Brunnhilde
29,Okoye,"Okoye is the leader of the Dora Milaje, the elite all-female bodyguards of the king of Wakanda. She is a highly skilled warrior and fiercely loyal to her country and its traditions. Okoye played a pivotal role in defending Wakanda during the Battle of Wakanda and continues to serve as a protector of the nation.","Expert combatant,Master spear-wielder,Strategic thinking",We will not abandon Wakanda.,Dora Milaje,"Christopher Priest, Mark Texeira",
